src,dst,edge_type,edge_source
TUR10-0434310,TUR10-0730880,DERIVATION_RELATED,SR
TUR10-0434310,TUR10-0419910,HYPERNYM,SR
TUR10-0434320,TUR10-0218740,ANTONYM,SR
TUR10-0434320,TUR10-0585930,HYPERNYM,SR
TUR10-0434320,ENG31-00375692-v,SYNONYM,ILR
TUR10-0434330,TUR10-0585930,HYPERNYM,SR
TUR10-0434330,TUR10-0119940,DERIVATION_RELATED,SR
TUR10-0434330,ENG31-00328938-v,SYNONYM,ILR
TUR10-0434340,TUR10-0434310,DERIVATION_RELATED,SR
TUR10-0434350,TUR10-1252780,DERIVATION_RELATED,SR
TUR10-0434390,TUR10-0434310,DERIVATION_RELATED,SR
TUR10-0434390,ENG31-02045051-v,SYNONYM,ILR
TUR10-0434390,ENG31-01905776-v,SYNONYM,ILR
TUR10-0434400,ENG31-02720849-v,SYNONYM,ILR
TUR10-0434400,ENG31-02712465-v,SYNONYM,ILR
TUR10-0434460,TUR10-0434770,DERIVATION_RELATED,SR
TUR10-0434470,TUR10-0276280,DOMAIN_TOPIC,SR
TUR10-0434470,TUR10-0461390,DOMAIN_TOPIC,SR
TUR10-0434470,TUR10-0683970,HYPERNYM,SR
TUR10-0434470,TUR10-0389680,HYPONYM,SR
TUR10-0434490,TUR10-0186790,HYPERNYM,SR
TUR10-0434500,TUR10-0551040,HYPERNYM,SR
TUR10-0434510,TUR10-0551030,HYPERNYM,SR
TUR10-0434510,TUR10-0432920,DERIVATION_RELATED,SR
TUR10-0434530,TUR10-0185070,HYPERNYM,SR
TUR10-0434530,TUR10-0432970,DERIVATION_RELATED,SR
TUR10-0434530,TUR10-0813510,DERIVATION_RELATED,SR
TUR10-0434590,TUR10-0539090,HYPERNYM,SR
TUR10-0434610,TUR10-0434630,HYPERNYM,SR
TUR10-0434620,TUR10-1230200,HYPERNYM,SR
TUR10-0434620,ENG31-09466357-n,SYNONYM,ILR
TUR10-0434630,TUR10-0434090,HYPONYM,SR
TUR10-0434630,TUR10-1230200,HYPERNYM,SR
TUR10-0434630,TUR10-0434610,HYPONYM,SR
TUR10-0434630,ENG31-09466357-n,SYNONYM,ILR
TUR10-0434640,TUR10-0539090,HYPERNYM,SR
TUR10-0434690,TUR10-0350830,HYPERNYM,SR
TUR10-0434730,ENG31-01223449-v,SYNONYM,ILR
TUR10-0434770,TUR10-1220160,DOMAIN_TOPIC,SR
TUR10-0434770,TUR10-0205070,HYPERNYM,SR
TUR10-0434770,TUR10-0434460,DERIVATION_RELATED,SR
TUR10-0434790,TUR10-1220160,DOMAIN_TOPIC,SR
TUR10-0434790,TUR10-0205070,HYPERNYM,SR
TUR10-0434840,TUR10-0032580,HYPERNYM,SR
TUR10-0434850,TUR10-0585930,HYPERNYM,SR
TUR10-0434850,ENG31-00328938-v,SYNONYM,ILR
TUR10-0434930,TUR10-0431890,DERIVATION_RELATED,SR
TUR10-0434940,TUR10-0133510,DERIVATION_RELATED,SR
TUR10-0434960,TUR10-0133510,DERIVATION_RELATED,SR
TUR10-0434970,TUR10-0226140,HYPERNYM,SR
TUR10-0434970,TUR10-0133510,DERIVATION_RELATED,SR
TUR10-0434970,TUR10-0431890,DERIVATION_RELATED,SR
TUR10-0435010,TUR10-0415100,HYPERNYM,SR
TUR10-0435020,TUR10-0749510,HYPERNYM,SR
TUR10-0435060,TUR10-0747210,DOMAIN_TOPIC,SR
TUR10-0435060,TUR10-0662150,HYPERNYM,SR
TUR10-0435090,TUR10-0850030,DOMAIN_TOPIC,SR
TUR10-0435090,TUR10-0435100,DERIVATION_RELATED,SR
TUR10-0435100,TUR10-0850030,DOMAIN_TOPIC,SR
TUR10-0435100,TUR10-0511600,HYPERNYM,SR
TUR10-0435100,TUR10-0435090,DERIVATION_RELATED,SR
TUR10-0435170,TUR10-0377480,HYPERNYM,SR
TUR10-0435170,TUR10-0435210,DERIVATION_RELATED,SR
TUR10-0435170,ENG31-03110761-n,SYNONYM,ILR
TUR10-0435180,TUR10-0193880,DOMAIN_TOPIC,SR
TUR10-0435180,TUR10-0322480,HYPERNYM,SR
TUR10-0435190,TUR10-0100390,HYPERNYM,SR
TUR10-0435210,TUR10-0435170,DERIVATION_RELATED,SR
TUR10-0435220,TUR10-0721020,HYPERNYM,SR
TUR10-0435220,TUR10-0435290,DERIVATION_RELATED,SR
TUR10-0435220,ENG31-10627901-n,SYNONYM,ILR
TUR10-0435260,TUR10-0932620,HYPERNYM,SR
TUR10-0435260,TUR10-0435290,DERIVATION_RELATED,SR
TUR10-0435270,TUR10-0185070,HYPERNYM,SR
TUR10-0435270,TUR10-0435290,DERIVATION_RELATED,SR
TUR10-0435290,TUR10-0288190,HYPERNYM,SR
TUR10-0435290,TUR10-0435220,DERIVATION_RELATED,SR
TUR10-0435290,TUR10-0435260,DERIVATION_RELATED,SR
TUR10-0435290,TUR10-0435270,DERIVATION_RELATED,SR
TUR10-0435290,TUR10-1252810,DERIVATION_RELATED,SR
TUR10-0435290,ENG31-00811316-v,SYNONYM,ILR
TUR10-0435300,TUR10-0346790,HYPERNYM,SR
TUR10-0435310,TUR10-0349630,DOMAIN_TOPIC,SR
TUR10-0435310,TUR10-0795040,DOMAIN_TOPIC,SR
TUR10-0435310,TUR10-0360700,HYPERNYM,SR
TUR10-0435310,TUR10-0435330,DERIVATION_RELATED,SR
TUR10-0435310,ENG31-10751971-n,SYNONYM,ILR
TUR10-0435330,TUR10-0538220,HYPERNYM,SR
TUR10-0435330,TUR10-0435310,DERIVATION_RELATED,SR
TUR10-0435340,TUR10-0747210,DOMAIN_TOPIC,SR
TUR10-0435340,TUR10-0485560,HYPERNYM,SR
TUR10-0435350,TUR10-0336150,DOMAIN_TOPIC,SR
TUR10-0435350,TUR10-1204060,MEMBER_HOLONYM,SR
TUR10-0435350,TUR10-1223930,MEMBER_HOLONYM,SR
TUR10-0435350,TUR10-1246750,HYPERNYM,SR
TUR10-0435350,TUR10-0072800,HYPONYM,SR
TUR10-0435350,TUR10-0657780,HYPONYM,SR
TUR10-0435350,TUR10-0194120,DERIVATION_RELATED,SR
TUR10-0435350,ENG31-01858313-n,SYNONYM,ILR
TUR10-0435370,TUR10-0686010,HYPERNYM,SR
TUR10-0435370,TUR10-0876370,HYPONYM,SR
TUR10-0435370,TUR10-0023180,HYPONYM,SR
TUR10-0435370,TUR10-1164260,HYPONYM,SR
TUR10-0435370,TUR10-0154350,HYPONYM,SR
TUR10-0435370,TUR10-1164070,HYPONYM,SR
TUR10-0435370,TUR10-0306220,HYPONYM,SR
TUR10-0435370,TUR10-0385220,HYPONYM,SR
TUR10-0435370,TUR10-0435570,DERIVATION_RELATED,SR
TUR10-0435370,TUR10-0435580,DERIVATION_RELATED,SR
TUR10-0435370,TUR10-0435940,DERIVATION_RELATED,SR
TUR10-0435370,TUR10-0435950,DERIVATION_RELATED,SR
TUR10-0435370,TUR10-0436100,DERIVATION_RELATED,SR
TUR10-0435370,TUR10-1075410,DERIVATION_RELATED,SR
TUR10-0435370,ENG31-07315954-n,SYNONYM,ILR
TUR10-0435390,TUR10-0367070,DOMAIN_TOPIC,SR
TUR10-0435390,TUR10-1219390,HYPERNYM,SR
TUR10-0435400,TUR10-0349630,DOMAIN_TOPIC,SR
TUR10-0435400,TUR10-0836650,HYPERNYM,SR
TUR10-0435400,TUR10-0795040,DOMAIN_TOPIC,SR
TUR10-0435400,ENG31-01190300-n,SYNONYM,ILR
TUR10-0435410,TUR10-0816170,HYPERNYM,SR
TUR10-0435440,TUR10-0041880,HYPERNYM,SR
TUR10-0435450,TUR10-0074100,HYPONYM,SR
TUR10-0435450,TUR10-0825770,PART_MERONYM,SR
TUR10-0435450,TUR10-1214090,PART_MERONYM,SR
TUR10-0435450,TUR10-0074180,HYPONYM,SR
TUR10-0435450,TUR10-1211200,HYPERNYM,SR
TUR10-0435450,ENG31-04377135-n,SYNONYM,ILR
TUR10-0435460,TUR10-0134800,HYPERNYM,SR
TUR10-0435470,TUR10-0815600,DOMAIN_TOPIC,SR
TUR10-0435470,TUR10-0695720,HYPERNYM,SR
TUR10-0435480,TUR10-0815600,DOMAIN_TOPIC,SR
TUR10-0435480,TUR10-0508630,ANTONYM,SR
TUR10-0435480,TUR10-0435550,DERIVATION_RELATED,SR
TUR10-0435490,TUR10-0793800,HYPERNYM,SR
TUR10-0435490,TUR10-0435520,DERIVATION_RELATED,SR
TUR10-0435490,TUR10-0435530,DERIVATION_RELATED,SR
TUR10-0435490,TUR10-1252820,DERIVATION_RELATED,SR
TUR10-0435490,ENG31-09755467-n,SYNONYM,ILR
TUR10-0435500,TUR10-0932620,HYPERNYM,SR
TUR10-0435500,TUR10-0435520,DERIVATION_RELATED,SR
TUR10-0435500,TUR10-0435530,DERIVATION_RELATED,SR
TUR10-0435500,TUR10-1252820,DERIVATION_RELATED,SR
TUR10-0435510,TUR10-0435520,DERIVATION_RELATED,SR
TUR10-0435510,TUR10-0435530,DERIVATION_RELATED,SR
TUR10-0435510,TUR10-1252820,DERIVATION_RELATED,SR
TUR10-0435520,TUR10-1221600,HYPERNYM,SR
TUR10-0435520,TUR10-0435490,DERIVATION_RELATED,SR
TUR10-0435520,TUR10-0435500,DERIVATION_RELATED,SR
TUR10-0435520,TUR10-0435510,DERIVATION_RELATED,SR
TUR10-0435520,ENG31-06939905-n,SYNONYM,ILR
TUR10-0435530,TUR10-0435490,DERIVATION_RELATED,SR
TUR10-0435530,TUR10-0435500,DERIVATION_RELATED,SR
TUR10-0435530,TUR10-0435510,DERIVATION_RELATED,SR
TUR10-0435540,TUR10-0708190,DOMAIN_TOPIC,SR
TUR10-0435540,TUR10-0328130,HYPERNYM,SR
TUR10-0435550,TUR10-0226140,HYPERNYM,SR
TUR10-0435550,TUR10-0435480,DERIVATION_RELATED,SR
TUR10-0435560,TUR10-0537520,HYPERNYM,SR
TUR10-0435570,TUR10-0475790,DERIVATION_RELATED,SR
TUR10-0435570,TUR10-0435370,DERIVATION_RELATED,SR
TUR10-0435570,TUR10-0729020,DERIVATION_RELATED,SR
TUR10-0435580,TUR10-0435370,DERIVATION_RELATED,SR
TUR10-0435590,TUR10-0433960,DERIVATION_RELATED,SR
TUR10-0435600,TUR10-0815600,DOMAIN_TOPIC,SR
TUR10-0435600,TUR10-0695720,HYPERNYM,SR
TUR10-0435610,TUR10-0764170,HYPERNYM,SR
TUR10-0435610,TUR10-0435620,HYPONYM,SR
TUR10-0435610,TUR10-0148860,HYPONYM,SR
TUR10-0435610,TUR10-0435630,DERIVATION_RELATED,SR
TUR10-0435610,ENG31-02942602-n,SYNONYM,ILR
TUR10-0435620,TUR10-0405390,HYPONYM,SR
TUR10-0435620,TUR10-0435610,HYPERNYM,SR
TUR10-0435620,TUR10-0076710,HYPONYM,SR
TUR10-0435620,TUR10-0435630,DERIVATION_RELATED,SR
TUR10-0435620,TUR10-0435900,DERIVATION_RELATED,SR
TUR10-0435620,TUR10-0581930,DERIVATION_RELATED,SR
TUR10-0435630,TUR10-0384570,HYPERNYM,SR
TUR10-0435630,TUR10-0435610,DERIVATION_RELATED,SR
TUR10-0435630,TUR10-0435620,DERIVATION_RELATED,SR
TUR10-0435650,TUR10-0538220,HYPERNYM,SR
TUR10-0435650,TUR10-0435820,DERIVATION_RELATED,SR
TUR10-0435680,TUR10-0435820,DERIVATION_RELATED,SR
TUR10-0435680,TUR10-0435830,DERIVATION_RELATED,SR
TUR10-0435700,TUR10-0435820,DERIVATION_RELATED,SR
TUR10-0435710,TUR10-0582130,HYPERNYM,SR
TUR10-0435710,ENG31-03410021-n,SYNONYM,ILR
TUR10-0435740,TUR10-0553310,HYPERNYM,SR
TUR10-0435780,TUR10-1235900,HYPONYM,SR
TUR10-0435780,TUR10-0531220,HYPERNYM,SR
TUR10-0435780,TUR10-0707930,HYPONYM,SR
TUR10-0435780,TUR10-0435830,DERIVATION_RELATED,SR
TUR10-0435780,ENG31-13275704-n,SYNONYM,ILR
TUR10-0435790,TUR10-0495160,HYPONYM,SR
TUR10-0435790,TUR10-0007100,HYPERNYM,SR
TUR10-0435790,TUR10-0435850,DERIVATION_RELATED,SR
TUR10-0435790,ENG31-13275704-n,SYNONYM,ILR
TUR10-0435820,TUR10-0029370,HYPERNYM,SR
TUR10-0435820,TUR10-0294910,HYPONYM,SR
TUR10-0435820,TUR10-1207090,HYPONYM,SR
TUR10-0435820,TUR10-0290560,DERIVATION_RELATED,SR
TUR10-0435820,TUR10-0421970,DERIVATION_RELATED,SR
TUR10-0435820,TUR10-0435650,DERIVATION_RELATED,SR
TUR10-0435820,TUR10-0435680,DERIVATION_RELATED,SR
TUR10-0435820,TUR10-0435700,DERIVATION_RELATED,SR
TUR10-0435820,TUR10-0436400,DERIVATION_RELATED,SR
TUR10-0435820,TUR10-0436410,DERIVATION_RELATED,SR
TUR10-0435820,ENG31-02294200-v,SYNONYM,ILR
TUR10-0435830,TUR10-0849410,ANTONYM,SR
TUR10-0435830,TUR10-0435680,DERIVATION_RELATED,SR
TUR10-0435830,TUR10-0435780,DERIVATION_RELATED,SR
TUR10-0435830,ENG31-01102556-v,SYNONYM,ILR
TUR10-0435850,TUR10-0290560,DERIVATION_RELATED,SR
TUR10-0435850,TUR10-0435790,DERIVATION_RELATED,SR
TUR10-0435850,TUR10-0445500,DERIVATION_RELATED,SR
TUR10-0435860,ENG31-02297086-v,SYNONYM,ILR
TUR10-0435880,TUR10-0029370,HYPERNYM,SR
TUR10-0435880,ENG31-02411715-v,SYNONYM,ILR
TUR10-0435880,ENG31-02294200-v,SYNONYM,ILR
TUR10-0435900,TUR10-0427060,HYPERNYM,SR
TUR10-0435900,TUR10-0435620,DERIVATION_RELATED,SR
TUR10-0435900,TUR10-0749510,DERIVATION_RELATED,SR
TUR10-0435930,TUR10-0520700,HYPERNYM,SR
TUR10-0435930,TUR10-0436990,DERIVATION_RELATED,SR
TUR10-0435930,TUR10-0437000,DERIVATION_RELATED,SR
TUR10-0435930,ENG31-04002774-n,SYNONYM,ILR
TUR10-0435940,TUR10-0435370,DERIVATION_RELATED,SR
TUR10-0435950,TUR10-0435370,DERIVATION_RELATED,SR
TUR10-0435970,TUR10-0642000,HYPERNYM,SR
TUR10-0435980,TUR10-0556740,HYPERNYM,SR
TUR10-0435990,TUR10-0747210,DOMAIN_TOPIC,SR
TUR10-0435990,TUR10-1231260,HYPERNYM,SR
TUR10-0435990,TUR10-0050020,DERIVATION_RELATED,SR
TUR10-0435990,TUR10-0050030,DERIVATION_RELATED,SR
TUR10-0436000,TUR10-0747210,DOMAIN_TOPIC,SR
TUR10-0436000,TUR10-1231260,HYPERNYM,SR
TUR10-0436000,TUR10-0050020,DERIVATION_RELATED,SR
TUR10-0436000,TUR10-0050030,DERIVATION_RELATED,SR
TUR10-0436010,TUR10-0538220,HYPERNYM,SR
TUR10-0436010,TUR10-0050020,DERIVATION_RELATED,SR
TUR10-0436010,TUR10-0050030,DERIVATION_RELATED,SR
TUR10-0436020,TUR10-0619770,HYPERNYM,SR
TUR10-0436020,TUR10-0050020,DERIVATION_RELATED,SR
TUR10-0436020,TUR10-0050030,DERIVATION_RELATED,SR
TUR10-0436020,TUR10-0050060,DERIVATION_RELATED,SR
TUR10-0436020,TUR10-0160340,DERIVATION_RELATED,SR
TUR10-0436030,TUR10-0355020,HYPERNYM,SR
TUR10-0436030,TUR10-0109440,DOMAIN_TOPIC,SR
TUR10-0436040,TUR10-0159260,HYPERNYM,SR
TUR10-0436050,TUR10-0768980,HYPERNYM,SR
TUR10-0436060,TUR10-0193880,DOMAIN_TOPIC,SR
TUR10-0436060,TUR10-0226140,HYPERNYM,SR
TUR10-0436070,TUR10-0789060,ALSO_SEE,SR
TUR10-0436070,TUR10-0789060,HYPERNYM,SR
TUR10-0436090,TUR10-0932620,HYPERNYM,SR
TUR10-0436100,TUR10-0932620,HYPERNYM,SR
TUR10-0436100,TUR10-0435370,DERIVATION_RELATED,SR
TUR10-0436190,TUR10-0461390,DOMAIN_TOPIC,SR
TUR10-0436190,TUR10-0549590,HYPERNYM,SR
TUR10-0436200,TUR10-0834010,HYPERNYM,SR
TUR10-0436220,TUR10-0041880,HYPERNYM,SR
TUR10-0436230,TUR10-0436330,HYPERNYM,SR
TUR10-0436230,TUR10-0436990,DERIVATION_RELATED,SR
TUR10-0436250,TUR10-0493780,HYPONYM,SR
TUR10-0436250,TUR10-0046020,DOMAIN_TOPIC,SR
TUR10-0436250,TUR10-0043290,HYPERNYM,SR
TUR10-0436250,TUR10-0436990,DERIVATION_RELATED,SR
TUR10-0436250,TUR10-0436270,DERIVATION_RELATED,SR
TUR10-0436270,TUR10-0375990,HYPERNYM,SR
TUR10-0436270,TUR10-0103020,DERIVATION_RELATED,SR
TUR10-0436270,TUR10-0103470,DERIVATION_RELATED,SR
TUR10-0436270,TUR10-0103480,DERIVATION_RELATED,SR
TUR10-0436270,TUR10-0320800,DERIVATION_RELATED,SR
TUR10-0436270,TUR10-0436250,DERIVATION_RELATED,SR
TUR10-0436270,ENG31-09824229-n,SYNONYM,ILR
TUR10-0436300,TUR10-0932620,HYPERNYM,SR
TUR10-0436300,TUR10-0436990,DERIVATION_RELATED,SR
TUR10-0436330,TUR10-0959830,HYPONYM,SR
TUR10-0436330,TUR10-0188940,HYPERNYM,SR
TUR10-0436330,TUR10-0512970,HYPONYM,SR
TUR10-0436330,TUR10-0426830,HYPONYM,SR
TUR10-0436330,TUR10-1250320,HYPONYM,SR
TUR10-0436330,TUR10-0436230,HYPONYM,SR
TUR10-0436330,TUR10-0526070,HYPONYM,SR
TUR10-0436330,TUR10-0706380,HYPONYM,SR
TUR10-0436330,TUR10-0303940,HYPONYM,SR
TUR10-0436330,TUR10-0101970,HYPONYM,SR
TUR10-0436330,TUR10-1049040,HYPONYM,SR
TUR10-0436330,TUR10-0703090,DERIVATION_RELATED,SR
TUR10-0436330,TUR10-0436540,DERIVATION_RELATED,SR
TUR10-0436330,TUR10-0098600,HYPONYM,SR
TUR10-0436340,TUR10-0204350,HYPERNYM,SR
TUR10-0436340,TUR10-0436540,DERIVATION_RELATED,SR
TUR10-0436340,ENG31-03942545-n,SYNONYM,ILR
TUR10-0436360,TUR10-0025810,HYPERNYM,SR
TUR10-0436360,TUR10-0436420,DERIVATION_RELATED,SR
TUR10-0436370,TUR10-0708190,DOMAIN_TOPIC,SR
TUR10-0436370,TUR10-0824870,HYPERNYM,SR
TUR10-0436380,TUR10-0582520,HYPERNYM,SR
TUR10-0436390,TUR10-0137760,HYPERNYM,SR
TUR10-0436400,TUR10-0723260,HYPERNYM,SR
TUR10-0436400,TUR10-0435820,DERIVATION_RELATED,SR
TUR10-0436400,TUR10-0436640,DERIVATION_RELATED,SR
TUR10-0436400,TUR10-0595300,DERIVATION_RELATED,SR
TUR10-0436410,TUR10-0723260,HYPERNYM,SR
TUR10-0436410,TUR10-0435820,DERIVATION_RELATED,SR
TUR10-0436410,TUR10-0436640,DERIVATION_RELATED,SR
TUR10-0436410,TUR10-0595300,DERIVATION_RELATED,SR
TUR10-0436420,TUR10-1172540,HYPERNYM,SR
TUR10-0436420,TUR10-0436360,DERIVATION_RELATED,SR
TUR10-0436440,TUR10-0109440,DOMAIN_TOPIC,SR
TUR10-0436440,TUR10-0480360,HYPERNYM,SR
TUR10-0436450,TUR10-0109440,DOMAIN_TOPIC,SR
TUR10-0436450,TUR10-0480330,HYPERNYM,SR
TUR10-0436450,ENG31-13146809-n,SYNONYM,ILR
TUR10-0436490,TUR10-0601310,HYPERNYM,SR
TUR10-0436490,ENG31-01574834-v,SYNONYM,ILR
TUR10-0436540,TUR10-0436330,DERIVATION_RELATED,SR
TUR10-0436540,TUR10-0436340,DERIVATION_RELATED,SR
TUR10-0436610,TUR10-0480360,HYPERNYM,SR
TUR10-0436610,TUR10-0436990,DERIVATION_RELATED,SR
TUR10-0436610,TUR10-0437000,DERIVATION_RELATED,SR
TUR10-0436640,TUR10-0321920,HYPERNYM,SR
TUR10-0436640,TUR10-0646450,HYPERNYM,SR
TUR10-0436640,TUR10-0436400,DERIVATION_RELATED,SR
TUR10-0436640,TUR10-0436410,DERIVATION_RELATED,SR
TUR10-0436640,ENG31-01311803-v,SYNONYM,ILR
TUR10-0436640,ENG31-01310820-v,SYNONYM,ILR
TUR10-0436700,TUR10-0214880,DOMAIN_TOPIC,SR
TUR10-0436700,TUR10-0503560,DERIVATION_RELATED,SR
TUR10-0436710,TUR10-0510390,HYPERNYM,SR
TUR10-0436720,TUR10-0662340,HYPERNYM,SR
TUR10-0436720,TUR10-0310530,DERIVATION_RELATED,SR
TUR10-0436720,TUR10-0310540,DERIVATION_RELATED,SR
TUR10-0436720,TUR10-0080040,DERIVATION_RELATED,SR
TUR10-0436720,TUR10-0256130,DERIVATION_RELATED,SR
TUR10-0436720,TUR10-0510390,DERIVATION_RELATED,SR
TUR10-0436720,TUR10-0802220,DERIVATION_RELATED,SR
TUR10-0436720,ENG31-03294179-n,SYNONYM,ILR
TUR10-0436730,TUR10-0783740,HYPERNYM,SR
TUR10-0436810,TUR10-0238140,HYPERNYM,SR
TUR10-0436810,TUR10-0436990,DERIVATION_RELATED,SR
TUR10-0436810,TUR10-0437000,DERIVATION_RELATED,SR
TUR10-0436820,TUR10-0389630,HYPERNYM,SR
TUR10-0436820,TUR10-0437000,DERIVATION_RELATED,SR
TUR10-0436910,TUR10-0708190,DOMAIN_TOPIC,SR
TUR10-0436910,TUR10-0316950,HYPERNYM,SR
